Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,WA,usa,PT,2040
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 03:00:00,2040-01-01 00:00:00,16258.8,0.0,0.0,134.4,16393.3,15708.1,14873.5,9645.5,6926.6,0.0339,0.0485,0.94,1.0,25.7,0.5,0.05,3.8,136.2,0.03,25.7,7.9,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.2,8.5,0.85,53.2,2353.9,0.2,450.6,123.4,574.0,30.51,0.0,0.0,30.51,32.07,0.0,0.0,32.07,13674.3,1519.8,2.2,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,8987.3,1049.5,0.0,0.0,0.0,0.0,1519.8,0.0
2040-01-01 04:00:00,2040-01-01 01:00:00,15458.6,0.0,0.0,127.2,15585.7,14945.7,14033.1,9204.4,6583.6,0.0332,0.0461,0.93,1.0,27.1,0.5,0.05,4.0,143.7,0.03,27.1,8.3,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.7,8.4,0.84,52.5,2325.3,0.19,445.2,121.9,567.1,30.49,0.0,0.0,30.49,31.97,0.0,0.0,31.97,12965.0,1552.6,1.2,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,8246.1,1049.5,0.0,0.0,0.0,0.0,1552.6,0.0
2040-01-01 05:00:00,2040-01-01 02:00:00,15150.7,0.0,0.0,122.5,15273.2,14651.9,13556.3,9131.7,6300.9,0.0329,0.0452,0.93,1.0,28.2,0.5,0.05,4.2,149.7,0.03,28.3,8.7,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.3,8.4,0.84,52.5,2323.1,0.19,444.7,121.8,566.5,30.49,0.0,0.0,30.49,31.94,0.0,0.0,31.94,12442.5,1717.0,6.6,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,7553.9,1049.5,0.0,0.0,0.0,0.0,1717.0,0.0
2040-01-01 06:00:00,2040-01-01 03:00:00,14984.4,0.0,0.0,120.2,15104.7,14493.1,13185.6,9157.1,6169.7,0.0328,0.0447,0.93,1.0,29.0,0.5,0.05,4.3,153.7,0.03,29.0,8.9,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,8.4,0.84,52.5,2321.9,0.19,444.5,121.7,566.2,30.47,0.0,0.0,30.47,31.9,0.0,0.0,31.9,12117.4,1919.1,200.4,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,6832.8,1049.5,0.0,0.0,0.0,0.0,1919.1,0.0
2040-01-01 07:00:00,2040-01-01 04:00:00,15004.2,0.0,0.0,125.0,15129.2,14512.0,13058.6,9526.6,6452.0,0.0328,0.0448,0.93,1.0,29.2,0.5,0.05,4.3,154.5,0.03,29.2,8.9,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.1,8.4,0.84,52.5,2322.0,0.19,444.5,121.7,566.2,30.47,0.0,0.0,30.47,31.9,0.0,0.0,31.9,12054.5,2070.6,12.2,36.1,0.0,1086.9,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,6945.0,1049.5,0.0,0.0,0.0,0.0,2070.6,0.0
2040-01-01 08:00:00,2040-01-01 05:00:00,15488.5,0.0,0.0,123.9,15612.5,14974.3,13511.6,9269.8,6367.8,0.0332,0.0462,0.93,1.0,27.6,0.5,0.05,4.1,146.5,0.03,27.7,8.5,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.7,8.4,0.84,52.5,2325.5,0.19,445.2,121.9,567.1,30.49,0.0,0.0,30.49,31.97,0.0,0.0,31.97,12710.5,2100.9,13.5,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,7431.1,1049.5,0.0,0.0,0.0,0.0,2100.9,0.0
2040-01-01 09:00:00,2040-01-01 06:00:00,16302.5,0.0,0.0,121.8,16424.3,15749.7,14348.6,8791.7,6166.0,0.0339,0.0486,0.94,1.0,25.5,0.5,0.05,3.8,135.0,0.03,25.5,7.8,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.8,7.7,0.77,48.2,2132.3,0.18,408.2,111.8,520.0,30.51,0.0,0.0,30.51,32.07,0.0,0.0,32.07,13798.6,2075.7,113.4,36.1,0.0,1225.2,0.0,0.0,0.0,0.0,854.3,0.0,0.0,0.0,8444.5,1049.5,0.0,0.0,0.0,0.0,2075.7,0.0
2040-01-01 10:00:00,2040-01-01 07:00:00,17050.4,7.2,0.0,166.8,17224.4,16460.4,15096.3,15306.1,7104.3,0.0346,0.0509,0.94,1.0,24.4,0.5,0.05,4.1,130.4,0.04,24.4,8.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.4,131.2,19.09,35.1,2484.2,0.57,1148.5,109.3,1257.8,25.89,0.0,0.0,25.89,27.28,0.0,0.0,27.28,9022.6,2128.2,0.0,36.1,0.0,864.8,0.0,0.0,0.0,104.8,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,0.0,2023.3,0.0
2040-01-01 11:00:00,2040-01-01 08:00:00,17875.5,447.3,163.4,176.3,18662.5,17242.5,16372.0,16678.7,7198.4,0.0354,0.0533,0.94,1.0,24.0,0.5,0.05,4.0,128.1,0.03,24.0,7.8,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.8,128.4,18.67,34.3,2430.7,0.55,1123.8,106.9,1230.7,23.29,0.0,0.0,23.29,24.6,0.0,0.0,24.6,9182.2,2290.5,0.0,33.3,0.0,864.8,0.0,0.0,0.0,295.7,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,24.9,1970.0,0.0
2040-01-01 12:00:00,2040-01-01 09:00:00,18730.0,327.2,0.0,189.8,19247.0,18050.4,17257.0,18092.6,7727.3,0.0363,0.0559,0.94,1.0,24.8,0.5,0.05,4.1,132.5,0.04,24.8,8.1,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.2,133.8,19.47,35.8,2534.0,0.58,1171.5,111.5,1283.0,23.29,0.0,0.0,23.29,24.67,0.0,0.0,24.67,8881.6,1990.0,0.0,33.3,0.0,864.8,0.0,0.0,0.0,278.3,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,60.5,1651.2,0.0
2040-01-01 13:00:00,2040-01-01 10:00:00,19122.9,90.7,259.2,195.2,19668.1,18421.1,17740.9,18830.1,7980.9,0.0367,0.057,0.94,1.0,25.0,0.5,0.05,4.1,133.4,0.04,25.0,8.1,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.3,108.9,15.83,29.1,2060.9,0.47,952.8,90.7,1043.5,23.29,0.0,0.0,23.29,24.7,0.0,0.0,24.7,8818.9,1927.2,0.0,33.3,0.0,864.8,0.0,0.0,0.0,321.2,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,68.9,1537.1,0.0
2040-01-01 14:00:00,2040-01-01 11:00:00,19353.7,181.8,0.0,198.8,19734.2,18638.6,17784.3,19034.6,8142.0,0.0369,0.0577,0.94,1.0,24.9,0.5,0.05,4.1,133.1,0.04,24.9,8.1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.5,134.1,19.51,35.9,2539.0,0.58,1173.9,111.7,1285.6,23.29,0.0,0.0,23.29,24.72,0.0,0.0,24.72,8841.6,1950.0,0.0,33.3,0.0,864.8,0.0,0.0,0.0,319.6,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,73.8,1556.6,0.0
2040-01-01 15:00:00,2040-01-01 12:00:00,19666.5,191.9,0.0,203.2,20061.7,18933.3,18094.5,19493.9,8291.1,0.0373,0.0587,0.94,1.0,24.9,0.5,0.05,4.1,132.8,0.04,24.9,8.1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.9,109.0,15.86,29.2,2064.5,0.47,954.5,90.8,1045.3,23.29,0.0,0.0,23.29,24.74,0.0,0.0,24.74,8858.8,1967.2,0.0,33.3,0.0,864.8,0.0,0.0,0.0,179.6,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,59.8,1727.8,0.0
2040-01-01 16:00:00,2040-01-01 13:00:00,19391.2,562.4,259.2,199.4,20412.1,18674.0,18020.3,19368.0,8196.6,0.037,0.0578,0.94,1.0,23.8,0.4,0.04,3.9,127.2,0.03,23.9,7.7,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,23.8,0.22,0.0,10.3,10.3,8.61,0.0,0.0,8.61,9.14,0.0,0.0,9.14,9240.7,2391.8,0.0,33.3,0.0,864.8,0.0,0.0,0.0,448.4,532.1,0.0,0.0,0.0,4412.0,1006.7,0.0,0.0,0.0,74.9,1868.5,0.0
2040-01-01 17:00:00,2040-01-01 14:00:00,19214.5,185.1,259.2,193.6,19852.6,18507.6,17545.9,18557.0,7902.8,0.0368,0.0573,0.94,1.0,23.9,0.5,0.05,4.0,127.9,0.03,24.0,7.8,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.5,108.9,15.84,29.1,2061.5,0.47,953.1,90.7,1043.8,23.29,0.0,0.0,23.29,24.71,0.0,0.0,24.71,9198.3,2306.7,0.0,33.3,0.0,864.8,0.0,0.0,0.0,82.7,532.1,0.0,0.0,0.0,4412.0,1049.5,0.0,0.0,0.0,57.6,2166.4,0.0
