Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,WA,usa,PT,2045
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 03:00:00,2045-01-01 00:00:00,17546.2,0.0,0.0,143.0,17689.2,16955.8,16042.6,10140.0,7415.6,0.0336,0.0479,0.93,1.0,28.0,0.5,0.05,4.0,148.3,0.03,28.1,8.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.4,8.1,0.81,50.7,2245.3,0.19,429.9,117.7,547.5,27.4,0.0,0.95,28.35,28.78,0.0,1.0,29.78,14964.8,1646.6,0.0,36.1,0.0,1237.9,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,9986.5,1049.5,0.0,0.0,0.0,0.0,1646.6,0.0
2045-01-01 04:00:00,2045-01-01 01:00:00,16606.6,0.0,0.0,138.9,16745.6,16060.1,15057.1,9762.0,7385.4,0.0329,0.0453,0.93,1.0,29.2,0.6,0.06,4.2,154.5,0.03,29.2,8.8,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.2,8.1,0.81,50.6,2239.0,0.19,428.7,117.4,546.0,27.4,0.0,0.95,28.35,28.7,0.0,1.0,29.7,14368.9,1688.5,0.0,36.1,0.0,1042.7,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,9544.0,1049.5,0.0,0.0,0.0,0.0,1688.5,0.0
2045-01-01 05:00:00,2045-01-01 02:00:00,16271.4,0.0,0.0,131.0,16402.3,15739.8,14525.0,9439.5,6856.8,0.0327,0.0444,0.93,1.0,30.4,0.6,0.06,4.4,160.6,0.03,30.4,9.2,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.5,6.9,0.69,43.2,1911.3,0.16,365.9,100.2,466.1,27.4,0.0,0.95,28.35,28.67,0.0,1.0,29.67,13819.6,1877.4,0.0,36.1,0.0,1237.9,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,8610.5,1049.5,0.0,0.0,0.0,0.0,1877.4,0.0
2045-01-01 06:00:00,2045-01-01 03:00:00,16083.9,0.0,0.0,108.0,16191.9,15560.6,14087.1,8053.9,5423.0,0.0325,0.0439,0.93,1.0,30.9,0.6,0.06,4.4,163.7,0.03,31.0,9.3,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.4,8.1,0.81,50.5,2234.7,0.19,427.8,117.1,545.0,27.39,0.0,0.95,28.35,28.65,0.0,1.0,29.65,13561.0,2104.8,0.0,36.1,0.0,1237.9,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,8124.5,1049.5,0.0,0.0,0.0,0.0,2104.8,0.0
2045-01-01 07:00:00,2045-01-01 04:00:00,16083.8,0.0,0.0,97.1,16180.9,15560.4,13900.0,7143.9,4856.3,0.0325,0.0439,0.93,1.0,30.2,0.6,0.06,4.3,159.8,0.03,30.2,9.1,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.3,8.1,0.81,50.5,2234.2,0.19,427.7,117.1,544.8,27.39,0.0,0.95,28.35,28.65,0.0,1.0,29.65,13893.3,2280.9,0.0,36.1,0.0,1237.9,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,8280.6,1049.5,0.0,0.0,0.0,0.0,2280.9,0.0
2045-01-01 08:00:00,2045-01-01 05:00:00,16618.8,0.0,0.0,98.8,16717.5,16071.6,14407.7,7184.8,4874.4,0.0329,0.0453,0.93,1.0,29.1,0.5,0.05,4.2,154.1,0.03,29.2,8.8,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.7,8.1,0.81,50.5,2236.6,0.19,428.2,117.2,545.4,27.39,0.0,0.95,28.35,28.69,0.0,1.0,29.69,14407.2,2309.9,0.0,36.1,0.0,1237.9,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,8765.6,1049.5,0.0,0.0,0.0,0.0,2309.9,0.0
2045-01-01 09:00:00,2045-01-01 06:00:00,17543.5,0.0,0.0,127.1,17670.7,16953.3,15398.7,8651.0,6714.3,0.0336,0.0479,0.94,1.0,26.7,0.5,0.05,3.8,141.1,0.03,26.7,8.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,7.8,0.78,49.1,2175.0,0.18,416.4,114.0,530.4,27.4,0.0,0.95,28.35,28.78,0.0,1.0,29.77,15733.9,2272.0,80.6,36.1,0.0,1042.7,0.0,0.0,0.0,0.0,1008.2,0.0,0.0,0.0,10244.9,1049.5,0.0,0.0,0.0,0.0,2272.0,0.0
2045-01-01 10:00:00,2045-01-01 07:00:00,18414.9,0.0,0.0,181.4,18596.4,17782.0,16288.5,16829.9,7650.7,0.0344,0.0502,0.92,1.0,35.4,0.7,0.07,5.3,187.8,0.04,35.5,10.9,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.7,107.5,15.64,28.8,2035.8,0.46,941.2,89.6,1030.8,23.78,0.0,0.95,24.72,25.03,0.0,1.0,26.03,9417.3,2307.9,0.0,36.1,0.0,820.5,0.0,0.0,0.0,105.0,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,0.0,2202.9,0.0
2045-01-01 11:00:00,2045-01-01 08:00:00,19392.6,542.0,259.2,196.2,20390.0,18709.2,17908.4,18753.4,7954.3,0.0352,0.0529,0.92,1.0,34.8,0.7,0.07,5.2,184.4,0.04,34.8,10.7,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.6,21.9,2.86,48.8,2265.0,0.23,509.0,116.4,625.4,23.59,0.0,0.95,24.53,24.91,0.0,1.0,25.91,9590.9,2481.6,0.0,36.1,0.0,820.5,0.0,0.0,0.0,296.2,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,43.0,2142.4,0.0
2045-01-01 12:00:00,2045-01-01 09:00:00,20418.2,127.3,259.2,212.2,21016.9,19679.2,18826.2,20655.2,8938.4,0.0362,0.0557,0.92,1.0,35.9,0.7,0.07,5.4,190.2,0.04,35.9,11.1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.1,108.2,15.73,28.9,2047.6,0.47,946.7,90.1,1036.7,23.66,0.0,0.94,24.6,25.06,0.0,1.0,26.06,9300.1,2190.7,0.0,36.1,0.0,820.5,0.0,0.0,0.0,280.4,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,107.2,1803.1,0.0
2045-01-01 13:00:00,2045-01-01 10:00:00,20901.6,291.6,0.0,221.2,21414.4,20135.3,19283.5,21374.4,9200.2,0.0367,0.057,0.91,1.0,36.1,0.7,0.07,5.4,191.4,0.04,36.1,11.1,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.4,108.3,15.75,29.0,2050.4,0.47,948.0,90.2,1038.2,23.66,0.0,0.94,24.6,25.09,0.0,1.0,26.09,9240.2,2130.8,0.0,36.1,0.0,820.5,0.0,0.0,0.0,323.5,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,122.0,1685.3,0.0
2045-01-01 14:00:00,2045-01-01 11:00:00,21282.1,223.1,0.0,228.0,21733.1,20493.9,19570.7,22194.0,9732.6,0.037,0.0581,0.91,1.0,36.0,0.7,0.07,5.4,190.8,0.04,36.0,11.1,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.5,108.4,15.77,29.0,2052.7,0.47,949.0,90.3,1039.3,23.66,0.0,0.94,24.6,25.12,0.0,1.0,26.12,9271.7,2162.4,0.0,36.1,0.0,820.5,0.0,0.0,0.0,322.0,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,130.8,1709.5,0.0
2045-01-01 15:00:00,2045-01-01 12:00:00,21715.5,581.0,175.6,240.9,22712.9,20901.9,20526.1,23766.5,10349.8,0.0375,0.0592,0.91,1.0,35.9,0.7,0.07,5.4,190.3,0.04,35.9,11.1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,80.7,11.64,35.5,2127.6,0.39,809.4,99.0,908.4,23.65,0.0,0.94,24.59,25.15,0.0,1.0,26.15,9296.2,2186.8,0.0,36.1,0.0,820.5,0.0,0.0,0.0,180.8,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,106.0,1900.1,0.0
2045-01-01 16:00:00,2045-01-01 13:00:00,21414.3,542.0,259.2,230.9,22446.4,20618.4,19810.3,22524.1,9823.1,0.0372,0.0584,0.92,1.0,34.2,0.6,0.06,5.1,181.5,0.04,34.3,10.6,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.8,108.5,15.78,29.0,2053.5,0.47,949.4,90.3,1039.7,23.65,0.0,0.94,24.59,25.13,0.0,1.0,26.13,9745.4,2636.1,0.0,36.1,0.0,820.5,0.0,0.0,0.0,450.9,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,134.2,2051.0,0.0
2045-01-01 17:00:00,2045-01-01 14:00:00,21245.8,132.4,0.0,218.6,21596.9,20459.8,19047.8,21141.8,9203.4,0.037,0.058,0.92,1.0,34.5,0.7,0.07,5.2,183.1,0.04,34.6,10.6,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.4,108.4,15.77,29.0,2052.5,0.47,948.9,90.3,1039.2,23.66,0.0,0.94,24.6,25.12,0.0,1.0,26.12,9658.4,2549.1,0.0,36.1,0.0,820.5,0.0,0.0,0.0,83.2,790.3,0.0,0.0,0.0,4412.9,1049.5,0.0,0.0,0.0,103.6,2362.3,0.0
